PGM | DB_ID | CLIENT_ID | DCB | Timestamp | Err Msg
343|344 - 061954.000112|backup-for-archiving|X:\061954\000112\HL_Production_QC\MTKV014\MTKV014_PROD_QC.DCB|2013-09-04 14:49:36|ERROR: can't find dcb[0343]: X:\061954\000112\HL_Production_QC\MTKV014\MTKV014_PROD_QC.DCB
344|345 - 061954.000112|backup-for-archiving|X:\061954\000112\HL_Production_QC\MTKV015\MTKV015_PROD_QC.DCB|2013-09-04 14:49:36|ERROR: can't find dcb[0344]: X:\061954\000112\HL_Production_QC\MTKV015\MTKV015_PROD_QC.DCB
345|346 - 061954.000112|backup-for-archiving|X:\061954\000112\HL_Production_QC\PROD_MTKV003_QC.DCB|2013-09-04 14:49:36|ERROR: can't find dcb[0345]: X:\061954\000112\HL_Production_QC\PROD_MTKV003_QC.DCB
346|347 - 061954.000112|backup-for-archiving|X:\061954\000112\Third_Party_Review - Copy\BELINC001.DCB|2013-09-04 14:49:36|ERROR: can't find dcb[0346]: X:\061954\000112\Third_Party_Review - Copy\BELINC001.DCB
347|348 - 061954.000112|backup-for-archiving|X:\061954\000112\HL_Production_QC\MTKV019\MTKV019.DCB|2013-09-04 14:49:36|ERROR: can't find dcb[0347]: X:\061954\000112\HL_Production_QC\MTKV019\MTKV019.DCB
362|363 - 063533.000029|backup-for-archiving|X:\063533\000029\Schwan_Document_Review - Copy\SCHWAN_DOCUMENT_REVIEW.DCB|2013-09-04 14:50:00|ERROR: can't find dcb[0362]: X:\063533\000029\Schwan_Document_Review - Copy\SCHWAN_DOCUMENT_REVIEW.DCB
363|364 - 063533.000029|backup-for-archiving|X:\063533\000029\Schwan_Document_Review - Copy (4)\SCHWAN_DOCUMENT_REVIEW.DCB|2013-09-04 14:50:00|ERROR: can't find dcb[0363]: X:\063533\000029\Schwan_Document_Review - Copy (4)\SCHWAN_DOCUMENT_REVIEW.DCB
376|377 - 068235.000015|backup-for-archiving|X:\068235\000015\Rutt-Egan_Claims\RUTT-EGAN_CLAIMS.DCB|2013-09-04 14:50:17|ERROR: can't find dcb[0376]: X:\068235\000015\Rutt-Egan_Claims\RUTT-EGAN_CLAIMS.DCB
377|378 - 068235.000015|backup-for-archiving|X:\068235\000015\Rutt_v_Anthem_Review\RUTT_V_ANTHEM_REVIEW.DCB|2013-09-04 14:50:17|ERROR: can't find dcb[0377]: X:\068235\000015\Rutt_v_Anthem_Review\RUTT_V_ANTHEM_REVIEW.DCB
381|382 - 068235.000134|backup-for-archiving|X:\068235\000134\Wellpoint_Production_QC\WellPointVol065\VOL065_PRODSET2.DCB|2013-09-04 14:50:49|ERROR: can't find dcb[0381]: X:\068235\000134\Wellpoint_Production_QC\WellPointVol065\VOL065_PRODSET2.DCB
383|384 - 068235.000134|backup-for-archiving|X:\068235\000134\Wellpoint_Production_QC\WellPointVol071\PROD_071A_QC.DCB|2013-09-04 14:50:50|ERROR: can't find dcb[0383]: X:\068235\000134\Wellpoint_Production_QC\WellPointVol071\PROD_071A_QC.DCB
384|385 - 068235.000134|backup-for-archiving|X:\068235\000134\Wellpoint_Production_QC\WellPointVol072\VOL072_PROD_QC.DCB|2013-09-04 14:50:50|ERROR: can't find dcb[0384]: X:\068235\000134\Wellpoint_Production_QC\WellPointVol072\VOL072_PROD_QC.DCB
385|386 - 068235.000134|backup-for-archiving|X:\068235\000134\Wellpoint_Production_QC\WellPointVol073\WELLPOINTVOL073_PROD_QC.DCB|2013-09-04 14:50:50|ERROR: can't find dcb[0385]: X:\068235\000134\Wellpoint_Production_QC\WellPointVol073\WELLPOINTVOL073_PROD_QC.DCB
386|387 - 068235.000134|backup-for-archiving|X:\068235\000134\Wellpoint_Production_QC\WellPointVol074\VOL074_PROD_QC.DCB|2013-09-04 14:50:50|ERROR: can't find dcb[0386]: X:\068235\000134\Wellpoint_Production_QC\WellPointVol074\VOL074_PROD_QC.DCB
387|388 - 068235.000134|backup-for-archiving|X:\068235\000134\Wellpoint_Production_QC\WellPointVol075\VOL075_PROD_QC.DCB|2013-09-04 14:50:50|ERROR: can't find dcb[0387]: X:\068235\000134\Wellpoint_Production_QC\WellPointVol075\VOL075_PROD_QC.DCB
388|389 - 068235.000134|backup-for-archiving|X:\068235\000134\Wellpoint_Production_QC\WellPointVol076_077\VOLS076_77_PROD_QC.DCB|2013-09-04 14:50:50|ERROR: can't find dcb[0388]: X:\068235\000134\Wellpoint_Production_QC\WellPointVol076_077\VOLS076_77_PROD_QC.DCB
389|390 - 068235.000134|backup-for-archiving|X:\068235\000134\Wellpoint_Production_QC\WellPointVol078\VOL078_PROD_QC.DCB|2013-09-04 14:50:50|ERROR: can't find dcb[0389]: X:\068235\000134\Wellpoint_Production_QC\WellPointVol078\VOL078_PROD_QC.DCB
