#TYPE System.Management.Automation.PSCustomObject
"batchid"	"dbid"	"clientid"	"loadnr"	"orig_dcb"	"conv_dcb"	"orig_dir"	"backup_done"	"db_bytes"	"db_files"	"natives_bytes"	"natives_files_present"	"natives_files_missing"	"images_bytes"	"images_files_present"	"images_files_missing"	"st_backup"	"st_get_images"	"st_get_images2"	"st_get_natives"	"st_qc_tags"	"st_qc_compare_tags"	"st_backup_arch"	"st_convert"	"st_get_arch_db_files"	"funky"	"st_add_images"	"st_add_natives"	"st_add_db"
"1"	"15"	"3540.000103"	""	"X:\003540\000103\Plaintiff_Document_Productions - Copy\PLAINTIFF_DOCUMENT_PRODUCTIONS.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\003540\000103\Plaintiff_Document_Productions - Copy\PLAINTIFF_DOCUMENT_PRODUCTIONS.DCB"	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"FUNKY"	""	""	""
"1"	"16"	"3540.000114"	""	"X:\003540\000114\Nissan_Production\NISSANV10.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\003540\000114\Nissan_Production\NISSANV10.DCB"	""	"0"	"110588512"	"31"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""
"1"	"17"	"3540.000114"	""	"X:\003540\000114\Ford_Production\FORD_PRODUCTION.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\003540\000114\Ford_Production\FORD_PRODUCTION.DCB"	""	"1"	"2398673"	"24"	""	""	"0"	"132841624"	"638"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"18"	"3540.000114"	""	"X:\003540\000114\Fujitsu_Ten_Corp_Of_America\FUJITSU_TEN_CORP_OF_AMERICA.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\003540\000114\Fujitsu_Ten_Corp_Of_America\FUJITSU_TEN_CORP_OF_AMERICA.DCB"	""	"1"	"1249454"	"25"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	"2"	""
"1"	"19"	"3540.000114"	""	"X:\003540\000114\Hertz_Production\HERTZ_PRODUCTION.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\003540\000114\Hertz_Production\HERTZ_PRODUCTION.DCB"	""	"1"	"10121571"	"26"	""	""	"0"	"620654320"	"2660"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"20"	"3540.000114"	""	"X:\003540\000114\Honda_Production\HONDA_PRODUCTION.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\003540\000114\Honda_Production\HONDA_PRODUCTION.DCB"	""	"1"	"73952354"	"28"	"5487618727"	"405"	"0"	"2570528507"	"27081"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"21"	"3540.000114"	""	"X:\003540\000114\Hyundai_Mobis_Alabama_LLC_&_Georgia_USA\HYUNDAI_MOBIS_ALABAMA_LLC_&_GEORGIA_USA.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\003540\000114\Hyundai_Mobis_Alabama_LLC_&_Georgia_USA\HYUNDAI_MOBIS_ALABAMA_LLC_&_GEORGIA_USA.DCB"	""	"1"	"677563"	"25"	""	""	"0"	"16584004"	"128"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"22"	"3540.000114"	""	"X:\003540\000114\Navsol_Production\NAVSOL_PRODUCTION.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\003540\000114\Navsol_Production\NAVSOL_PRODUCTION.DCB"	""	"1"	"12094216"	"18"	""	""	"0"	"426265164"	"5024"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"23"	"3540.000114"	""	"X:\003540\000114\Nissan_Production\NISSAN_PRODUCTION.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\003540\000114\Nissan_Production\NISSAN_PRODUCTION.DCB"	""	"1"	"110588512"	"31"	"364598142"	"293"	"0"	"16758641294"	"78001"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"24"	"3540.000114"	""	"X:\003540\000114\Porsche_Production\PORSCHE_PRODUCTION.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\003540\000114\Porsche_Production\PORSCHE_PRODUCTION.DCB"	""	"1"	"5860056"	"26"	""	""	"0"	"1649223119"	"1778"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"25"	"3540.000114"	""	"X:\003540\000114\Robert_Bosch_LLC\ROBERT_BOSCH_LLC.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\003540\000114\Robert_Bosch_LLC\ROBERT_BOSCH_LLC.DCB"	""	"1"	"17411041"	"25"	""	""	"0"	"1271022938"	"3074"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"26"	"3540.000114"	""	"X:\003540\000114\Sanyo\SANYO.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\003540\000114\Sanyo\SANYO.DCB"	""	"1"	"739377"	"18"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	"2"	""
"1"	"27"	"3540.000114"	""	"X:\003540\000114\U-blox_America_Production\U-BLOX_AMERICA_PRODUCTION.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\003540\000114\U-blox_America_Production\U-BLOX_AMERICA_PRODUCTION.DCB"	""	"1"	"249891"	"16"	""	""	"0"	"1261937"	"26"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"28"	"3540.000114"	""	"X:\003540\000114\Mercedes_ITC_Review\MERCEDES_ITC_REVIEW.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\003540\000114\Mercedes_ITC_Review\MERCEDES_ITC_REVIEW.DCB"	""	"1"	"40845755"	"32"	"2426880"	"8"	"0"	"2978132603"	"14081"	"121"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"29"	"3540.000114"	""	"X:\003540\000114\MiTAC_Production\MITAC_PRODUCTION.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\003540\000114\MiTAC_Production\MITAC_PRODUCTION.DCB"	""	"1"	"115430595"	"18"	""	""	"0"	"2281595546"	"31936"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"30"	"3540.000114"	""	"X:\003540\000114\Suzuki_Production\SUZUKI_PRODUCTION.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\003540\000114\Suzuki_Production\SUZUKI_PRODUCTION.DCB"	""	"1"	"9471524"	"27"	""	""	"0"	"39010946"	"221"	"3550"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"31"	"3540.000114"	""	"X:\003540\000114\Mercedes_ITC_Production\MERCEDES_ITC_PRODUCTION.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\003540\000114\Mercedes_ITC_Production\MERCEDES_ITC_PRODUCTION.DCB"	""	"1"	"42471224"	"33"	""	""	"0"	"3053471144"	"14592"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"32"	"3866.000002"	""	"X:\003866\000002\Tenor_ESI_Review_Database\ESI_REVIEW.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\003866\000002\Tenor_ESI_Review_Database\ESI_REVIEW.DCB"	""	"1"	"347097897"	"36"	"570091775"	"8836"	"3"	"2797023007"	"47093"	"27870"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"33"	"19061.00001"	""	"X:\019061\000005\CoCounsel_Production\TRANS1_CO_COUNSEL_PRODUCTION.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\019061\000005\CoCounsel_Production\TRANS1_CO_COUNSEL_PRODUCTION.DCB"	""	"1"	"15427615"	"29"	"1480308500"	"5226"	"0"	"765650800"	"15201"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"34"	"19061.00001"	""	"X:\019061\000005\PROD1\1DOJTRANS1_PROD001.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\019061\000005\PROD1\1DOJTRANS1_PROD001.DCB"	""	"1"	"23872011"	"25"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	"2"	""
"1"	"35"	"19061.00001"	""	"X:\019061\000005\PROD3\1DOJTRANS1_11_PROD003.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\019061\000005\PROD3\1DOJTRANS1_11_PROD003.DCB"	""	"1"	"108698"	"14"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	"2"	""
"1"	"36"	"19061.00001"	""	"X:\019061\000005\PROD4\1DOJTRANS1_PROD004.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\019061\000005\PROD4\1DOJTRANS1_PROD004.DCB"	""	"1"	"13172978"	"22"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	"2"	""
"1"	"37"	"19199"	""	"X:\019199\000002\EDD\ASMIT.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\019199\000002\EDD\ASMIT.DCB"	""	"1"	"933079182"	"11"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	"2"	""
"1"	"38"	"19337.0001"	""	"X:\019337\000102\Office_Depot_Climo_Email_Review_DB\EMAIL_REVIEW_DB.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\019337\000102\Office_Depot_Climo_Email_Review_DB\EMAIL_REVIEW_DB.DCB"	""	"1"	"403087455"	"31"	"1327611383"	"3957"	"0"	"4583557161"	"86493"	"3"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"39"	"19582.00002"	""	"X:\019582\000017\Arbitration\NICOR001.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\019582\000017\Arbitration\NICOR001.DCB"	""	"1"	"1750831819"	"38"	"4128822253"	"15268"	"51"	"38475370973"	"286020"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"40"	"19582.00002"	""	"X:\019582\000017\CVGS_PRODUCTION\CVGS_PRODUCTION.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\019582\000017\CVGS_PRODUCTION\CVGS_PRODUCTION.DCB"	""	"1"	"646802713"	"30"	"4975437478"	"16389"	"6"	"17335045781"	"94522"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"41"	"19582.00002"	""	"X:\019582\000017\Nicor_Arbitration\XXNICOR001.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\019582\000017\Nicor_Arbitration\XXNICOR001.DCB"	""	"1"	"703109109"	"38"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	"2"	""
"1"	"42"	"19582.00002"	""	"X:\019582\000017\PNG001\PNG001.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\019582\000017\PNG001\PNG001.DCB"	""	"1"	"15885105"	"31"	""	""	"849"	"153200282"	"3431"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"43"	"19752"	""	"X:\019752\000004\NAHC_Production\NAHC_PRODUCTION.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\019752\000004\NAHC_Production\NAHC_PRODUCTION.DCB"	""	"1"	"1321563"	"26"	""	""	"0"	"15830226"	"326"	"16"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"44"	"20793"	""	"X:\020793\000002\Jacoby_Bisys003\BISYS003.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\020793\000002\Jacoby_Bisys003\BISYS003.DCB"	""	"1"	"252243"	"21"	""	""	"0"	"3217190"	"91"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"45"	"20980"	""	"X:\020980\000002\PPHEA_001\PPHEA_001.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\020980\000002\PPHEA_001\PPHEA_001.DCB"	""	"1"	"1485342"	"25"	""	""	"0"	"17835822"	"328"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"46"	"21728.00001"	""	"X:\021728\000007\K12_Production\20120123_PROD_QC.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\021728\000007\K12_Production\20120123_PROD_QC.DCB"	""	"0"	"420705113"	"77"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""
"1"	"47"	"21728.00001"	""	"X:\021728\000007\K12_Production_QC\K12_005_Prod_QC\K12_005_PROD_QC.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\021728\000007\K12_Production_QC\K12_005_Prod_QC\K12_005_PROD_QC.DCB"	""	"1"	"11712429"	"26"	""	""	"0"	"243053960"	"3640"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"48"	"21728.00001"	""	"X:\021728\000007\Florida_DOE\FLORIDA_DOE_DOCUMENTS.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\021728\000007\Florida_DOE\FLORIDA_DOE_DOCUMENTS.DCB"	""	"1"	"359685424"	"54"	"75548037"	"188"	"0"	"4522455566"	"74441"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"49"	"22627.00001"	""	"X:\022627\000009\TMHRI_Production_MOVED_LOCALLY_FORDEPO_DGlebov\TMHRI_PRODUCTION.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\022627\000009\TMHRI_Production_MOVED_LOCALLY_FORDEPO_DGlebov\TMHRI_PRODUCTION.DCB"	""	"1"	"36096257"	"33"	"140445219"	"546"	"655"	"492191486"	"7842"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"50"	"25274.00002"	""	"X:\025274\000015\HL_SINGLEPAGE_TEMP\HL_SINGLEPAGE_TEMP.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\025274\000015\HL_SINGLEPAGE_TEMP\HL_SINGLEPAGE_TEMP.DCB"	""	"1"	"170325"	"39"	""	""	"0"	"771622"	"23"	"0"	""	""	""	""	""	""	""	""	"2"	""	"2"	"2"	""
"1"	"51"	"25593.00001"	""	"X:\025593\000008\Backup\Dendreon_Email_review\DENDREON_EMAIL_REVIEW.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\025593\000008\Backup\Dendreon_Email_review\DENDREON_EMAIL_REVIEW.DCB"	""	"1"	"236207931"	"29"	"2057945190"	"9786"	"8"	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	"2"	""
"1"	"52"	"25593.00001"	""	"X:\025593\000008\Temp_Productions\DNDN009\DNDN009_TEMP_REVIEW.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\025593\000008\Temp_Productions\DNDN009\DNDN009_TEMP_REVIEW.DCB"	""	"1"	"573180479"	"31"	"4953440440"	"6108"	"1"	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	"2"	""
"1"	"53"	"25593.00001"	""	"X:\025593\000008\Hagen_Review\HAGEN_REVIEW.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\025593\000008\Hagen_Review\HAGEN_REVIEW.DCB"	""	"1"	"2245671"	"29"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	"2"	""
"1"	"54"	"25593.00001"	""	"X:\025593\000008\Temp_Productions\DNDN010\TEMP_DNDN010_PROD.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\025593\000008\Temp_Productions\DNDN010\TEMP_DNDN010_PROD.DCB"	""	"1"	"873092438"	"47"	"5801018831"	"23779"	"0"	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	"2"	""
"1"	"55"	"25593.00001"	""	"X:\025593\000008\Temp_Productions\DNDN011\TEMP_DNDN011_PROD.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\025593\000008\Temp_Productions\DNDN011\TEMP_DNDN011_PROD.DCB"	""	"1"	"297770578"	"28"	"2478732961"	"5995"	"0"	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	"2"	""
"1"	"56"	"25593.00001"	""	"X:\025593\000008\Temp_Productions\DNDN005\DNDN005_PREPRODUCTION.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\025593\000008\Temp_Productions\DNDN005\DNDN005_PREPRODUCTION.DCB"	""	"1"	"388881247"	"59"	"1936070333"	"4389"	"0"	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	"2"	""
"1"	"57"	"25593.00001"	""	"X:\025593\000008\Temp_Productions\DNDN006\DNDN006_REVIEW.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\025593\000008\Temp_Productions\DNDN006\DNDN006_REVIEW.DCB"	""	"1"	"235234052"	"52"	"1526976660"	"3081"	"0"	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	"2"	""
"1"	"58"	"25593.00001"	""	"X:\025593\000008\Temp_Productions\DNDN018\DNDN018_TEMP PROD_REVIEW.DCB"	"W:\_LN_Test\Bkups-for-Archiving-Analysis\025593\000008\Temp_Productions\DNDN018\DNDN018_TEMP PROD_REVIEW.DCB"	""	"1"	"2224885115"	"29"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"FUNKY"	""	""	""
